"Library" "City" "State" "Relationship" "Operated" "Area" "Population" "Visits" "Hours" "Libraries" "Branches" "Bookmobiles" "Books" "Audio" "Video" "Subscriptions" "Circulation" "Loans Provided" "Loans Received" "ALA Librarians" "FT Librarians" "Other Full Time" "Total Full Time" "Children Circulation" "Children Attendance" "Income-local" "Income-state" "Income-federal" "Income-other" "Income-total" "Salaries" "Benefits" "Expenditures-staff" "Expenditures-collection" "Expenditures-operating-other" "Expenditures-operating-total" "Expenditures-capital" "Expenditures-electronic materials" "Expenditures-electronic access" "Materials electronic format" "Access to electronic services" "Access to the internet" "Staff terminals" "Public Terminals" "Weekly Elect Resources"
"Clyde Nix Public Library" "Hamilton" "Alabama" " Member library of a library system." "Municipal government" "City" 6786 15093 1756 1 0 0 15646 422 430 29 22467 2 8 0 0.6 0.4 1 5241 185 27628 NA NA NA 27628 NA NA NA 122 NA 27628 15000 NA NA NA "No" "Yes" 2 4 51
"Hartford Public Library" "Hartford" "Alabama" " Member library of a library system." "Municipal government" "City" 2369 8010 2320 1 0 0 16919 497 380 34 21493 14 40 0 1 1 2 5712 438 52078 1824 NA 4770 58672 NA NA NA 15156 NA 59731 1617 NA 239 24 "Yes" "Yes" 2 1 8
"Hartselle Public Library" "Hartselle" "Alabama" " Member library of a library system." "Municipal government" "City" 12019 27794 2366 1 0 0 28351 760 268 18 48233 83 215 0 1 1.07 2.07 21252 869 76030 6866 9570 21340 113806 40381 6283 46664 12516 45973 105153 NA NA 6468 1 "Yes" "Yes" 2 2 356
"HaynevilleLowndes County Public Library" "Hayneville" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 12459 7022 1127 1 0 0 20787 192 172 45 14523 40 50 0.55 0.55 0.55 1.1 5486 196 21900 12612 NA 160 34672 NA NA NA 5100 NA 31362 NA 1500 NA 115 "Yes" "Yes" 1 2 25
"Blanche R. Solomon Memorial Library" "Headland" "Alabama" " Not a member of a library system." "Municipal government" "City" 3523 17150 2265 1 0 0 51633 1501 264 41 40123 17 153 0 1 1 2 19512 499 62972 8254 NA 3987 75213 NA NA NA 19636 NA 76311 NA 20 NA 9 "Yes" "Yes" 1 2 36
"Cheaha Regional Library" "Heflin" "Alabama" " Headquarters of a library system." "Multi-jurisdictional" "Multi-County" 77645 1573 5640 1 0 2 17744 1893 87 7 78517 236 124 0 1 2 3 33699 61 7750 94441 4000 8200 114391 46864 7677 54541 38700 18950 112191 NA 700 250 43 "Yes" "Yes" 3 3 5
"Lucile L. Morgan Public Library" "Heflin" "Alabama" " Member library of a library system." "Municipal government" "City" 3002 5519 1023 1 0 0 13342 133 98 26 7677 32 19 0 0.5 0.5 1 4110 220 25025 2940 758 6747 35470 NA NA NA 7090 NA 31700 NA NA 1870 NA "Yes" "Yes" 1 1 6
"Helena Public Library" "Helena" "Alabama" " Member library of a library system." "Municipal government" "City" 10295 25144 2358 1 0 0 25133 556 1497 16 46022 13 95 0 1 3.5 4.5 27513 2214 125417 10420 NA 10886 146723 86678 NA 86678 22955 37543 147176 NA NA 1650 5 "Yes" "Yes" 3 5 59
"Homewood Public Library" "Homewood" "Alabama" " Member library of a library system." "Municipal government" "City" 25043 323127 3342 1 0 0 84371 5439 9769 245 533998 1826 2885 7 8 30.5 38.5 200855 14305 1891805 20915 1927 38159 1952806 1142830 205646 1348476 282813 305122 1936411 37727 9558 37491 47 "Yes" "Yes" 27 68 1870
"Hoover Public Library" "Hoover" "Alabama" " Member library of a library system." "Municipal government" "City" 62742 450892 3464 1 0 0 195148 9301 6198 374 879436 3686 3971 14.9 14.9 48.33 63.23 343859 24519 3579996 45770 2500 121108 3749374 2114888 502758 2617646 248370 881965 3747981 5400 9600 46620 162 "Yes" "Yes" 56 33 5049
"Hueytown Public Library" "Hueytown" "Alabama" " Member library of a library system." "Municipal government" "City" 15364 31478 2235 1 0 0 39567 3415 872 35 56921 3 5 1 2 3 5 19662 962 95764 12832 NA 16965 125561 78235 1200 79435 30517 15609 125561 NA NA NA NA "Yes" "Yes" 4 5 65
"Huntsville-Madison County Public Library" "Huntsville" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 276902 1470000 29648 1 11 2 555157 18876 33004 1229 2219902 742 1102 23.6 44.2 73.9 118.1 676904 26932 3527200 280307 30300 732189 4569996 2847086 429127 3276213 543272 675811 4495296 129609 4800 6408 231 "Yes" "Yes" 105 118 2640
"Ider Public Library" "Ider" "Alabama" " Member library of a library system." "Municipal government" "City" 664 3367 1020 1 0 0 10975 53 371 7 4825 NA NA 0 0.5 0.5 1 1122 120 15509 672 6791 4694 27666 NA NA NA 3337 NA 29751 NA NA 11905 14 "Yes" "Yes" 0 2 2
"Irondale Public Library" "Irondale" "Alabama" " Member library of a library system." "Municipal government" "City" 9813 34121 2678 1 0 0 39269 1257 313 115 64388 1323 818 1 1 4.62 5.62 26406 2716 289980 8195 NA 19450 317625 152470 28628 181098 66020 60378 307496 NA 1000 19982 2 "Yes" "Yes" 5 4 110
"White Smith Memorial Library" "Jackson" "Alabama" " Not a member of a library system." "Municipal government" "City" 10873 19361 2761 1 0 0 20136 393 667 35 19363 75 194 0 2.55 1.32 3.87 3597 2017 112430 11283 NA 6393 130106 98130 10455 108585 8030 13491 130106 1526 NA NA 73 "Yes" "Yes" 4 7 50
"Jacksonville Public Library" "Jacksonville" "Alabama" " Member library of a library system." "Municipal government" "County" 8404 32500 2600 1 0 0 48702 433 1820 52 101265 122 208 1 4 5.62 9.62 43178 1947 327862 8508 NA NA 336370 183275 35912 219187 58063 40724 317974 63823 588 5598 106 "Yes" "Yes" 10 10 50
"Carl Elliott Regional Library" "Jasper" "Alabama" " Headquarters of a library system." "Multi-jurisdictional" "Multi-County" 66546 173288 2232 1 0 0 1200 NA NA NA 1795 384 649 1 3 0 3 493 5947 72391 96760 1610 20101 190862 89000 17000 106000 43092 45119 194211 24000 NA 235 NA "Yes" "Yes" 3 0 0
"Jasper Public Library" "Jasper" "Alabama" " Member library of a library system." "Municipal government" "City" 14052 43574 2340 1 0 0 54347 664 941 80 69738 82 274 0 2 1.2 3.2 29461 681 142355 NA 4000 5728 152083 78600 18125 96725 22428 32930 152083 NA NA NA NA "Yes" "Yes" 0 9 54
"Kennedy Public Library" "Kennedy" "Alabama" " Member library of a library system." "Municipal government" "City" 541 800 1600 1 0 0 4595 NA 2 NA 642 NA 4 0 0.8 0 0.8 220 30 6895 NA NA NA 6895 NA NA NA 660 NA 6895 NA NA NA NA "No" "Yes" 0 2 8
"Killen Public Library" "Killen" "Alabama" " Member library of a library system." "Municipal government" "City" 1119 1835 1309 1 0 0 11173 42 NA 3 7950 NA NA 0 0.6 0 0.6 3225 106 15472 8057 NA 1085 24614 NA NA NA 11373 NA 24614 NA NA 251 NA "Yes" "Yes" 4 2 10
"Leeds Jane Culbreth Library" "Leeds" "Alabama" " Member library of a library system." "Municipal government" "City" 9359 74364 2557 1 0 0 33270 1333 1989 92 76159 952 2328 2 5 2.02 7.02 31441 7192 288346 8136 4172 25604 326258 181292 41664 222956 42062 57471 322489 NA NA 8364 NA "Yes" "Yes" 7 5 413
"Leighton Public Library" "Leighton" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "City" 5542 3128 1004 1 0 0 9286 113 311 24 5330 NA NA 0 0.5 0.2 0.7 2937 60 6200 5610 1500 7931 21241 NA NA NA 4665 NA 19638 NA NA 1352 7 "Yes" "Yes" 0 2 14
"Burchell Campbell Memorial Library" "Lexington" "Alabama" " Member library of a library system." "Municipal government" "City" 840 2390 1196 1 0 0 8708 79 30 13 6576 NA 8 0 0.57 0 0.57 1598 160 13119 4708 NA 125 17952 NA NA NA 5424 NA 17922 NA NA 921 NA "Yes" "Yes" 1 2 8
"Lincoln Public Library" "Lincoln" "Alabama" " Member library of a library system." "Municipal government" "City" 4577 8927 2450 1 0 0 14369 210 315 25 14600 45 35 0 2.1 0 2.1 5875 2585 75369 4485 300 2100 82254 39741 NA 39741 8285 14105 62131 NA 399 240 25 "Yes" "Yes" 3 3 50
"Marengo County Public Library" "Linden" "Alabama" " Member library of a library system." "County/Parish" "City" 2424 6891 1619 1 0 0 6935 247 194 4 12192 NA 2 0 0.6 0.4 1 3091 149 32865 8581 5285 2423 49154 NA NA NA 7353 NA 48549 5285 NA 478 NA "Yes" "Yes" 1 3 17
"Lineville Public Library" "Lineville" "Alabama" " Member library of a library system." "Municipal government" "City" 2401 9326 1757 1 0 0 13288 317 NA 5 17543 10 12 0 1 0.5 1.5 5250 573 18861 2353 NA 6553 27767 NA NA NA 8906 NA 27767 NA NA 240 NA "Yes" "Yes" 1 2 3
"Ruby Pickens Tartt Public Library" "Livingston" "Alabama" " Member library of a library system." "Municipal government" "City" 3297 19752 2285 1 0 0 24360 795 434 37 31046 2 110 1 1.5 1.5 3 9669 808 94795 8211 NA 7641 110647 67572 10000 77572 18054 12291 107917 10000 NA 780 NA "Yes" "Yes" 2 1 5
"Louisville Public Library" "Louisville" "Alabama" " Member library of a library system." "Municipal government" "City" 612 175 800 1 0 0 5269 NA 15 2 591 NA NA 0 0.6 0 0.6 201 NA 5159 3282 NA 500 8941 NA NA NA 1590 NA 8477 NA NA NA 22 "Yes" "Yes" 0 1 2
"Loxley Public Library" "Loxley" "Alabama" " Member library of a library system." "Municipal government" "City" 1348 2210 1359 1 0 0 7462 NA NA 11 2397 78 33 0 0.7 0 0.7 1200 111 33431 1364 NA NA 34795 NA NA NA 7275 NA 33431 NA NA NA NA "Yes" "Yes" 1 2 36
"Luverne Public Library" "Luverne" "Alabama" " Member library of a library system." "Municipal government" "County" 2635 13908 1700 1 0 0 11355 476 229 37 9640 2 60 1 1.7 0.2 1.9 3235 247 78982 2667 NA 8010 89659 NA NA NA 9402 NA 94584 NA NA 6654 6 "Yes" "Yes" 3 4 131
"Marion-Perry County Library" "Marion" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 3511 6150 1776 1 0 0 19702 2044 1837 23 6013 NA 14 0 1 0.26 1.26 2856 942 34812 NA NA 7785 42597 NA NA NA 8270 NA 50140 NA 225 225 11 "Yes" "Yes" 1 2 7
"Midfield Public Library" "Midfield" "Alabama" " Member library of a library system." "Municipal government" "City" 5626 8231 2392 1 0 0 12361 75 1251 26 6158 67 71 1 2 0.75 2.75 2527 3405 50585 4696 8720 6211 70212 25600 5379 30979 13635 25598 70212 NA NA 8625 NA "Yes" "Yes" 3 3 75
"Millbrook Public Library" "Millbrook" "Alabama" " Member library of a library system." "Municipal government" "City" 10386 72000 2824 1 0 0 32269 1067 2369 56 81008 5 59 0 2 1 3 44410 4476 83600 5500 250 8133 97483 47219 18347 65566 11903 18636 96105 NA 65 2370 78 "Yes" "Yes" 3 4 156
"Millport Public Library" "Millport" "Alabama" " Member library of a library system." "Municipal government" "City" 1160 4479 1402 1 0 0 9427 12 111 2 2861 NA 58 0 0.7 0 0.7 1292 129 19827 NA NA NA 19827 NA NA NA 142 NA 19827 15000 NA NA NA "No" "Yes" 1 5 35
"Mobile Public Library" "Mobile" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 352343 994679 19140 1 6 1 457317 60663 23354 735 1414041 2417 2631 22 26.5 113.32 139.82 268667 23547 5806041 356676 NA 291571 6454288 3180641 844119 4024760 1242544 1186448 6453752 1744882 55687 151582 886 "Yes" "Yes" 120 129 4788
"Monroe County Public Library" "Monroeville" "Alabama" " Not a member of a library system." "County/Parish" "County" 24324 39445 2330 1 0 0 25447 779 361 41 57953 3 225 0 3 0 3 18610 2688 73200 20678 NA 79199 173077 57653 NA 57653 16900 83737 158290 NA NA NA 50 "Yes" "Yes" 2 8 126
"Parnell Memorial Library" "Montevallo" "Alabama" " Member library of a library system." "Municipal government" "City" 4825 10462 1950 1 0 0 15416 357 362 4 23856 64 128 0 1 1.2 2.2 9058 1370 71462 4152 NA 3878 79492 52442 NA 52442 6937 16520 75899 NA NA 5100 NA "Yes" "Yes" 1 2 25
"Montgomery City-County Public Library" "Montgomery" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 223510 624689 21769 1 9 0 548606 10168 2316 781 503742 212 1074 9 33 39 72 116346 128722 2927304 226259 NA 110161 3263724 1400811 430322 1831133 688133 519021 3038287 92981 49139 NA 51 "Yes" "Yes" 43 91 1940
"Doris Stanley Memorial Library" "Moody" "Alabama" " Member library of a library system." "Municipal government" "City" 8053 11712 2340 1 0 0 14107 104 220 24 19986 NA 17 0 3.22 0 3.22 11374 1564 84774 4554 11527 3883 104738 61813 14103 75916 15397 13425 104738 NA NA 4981 NA "Yes" "Yes" 3 4 35
"Lawrence County Public" "Moulton" "Alabama" " Member library of a library system." "County/Parish" "County" 34034 19282 2054 1 0 0 31501 780 1159 16 32553 184 421 0 1.14 0.5 1.64 12434 722 47181 17546 3225 24517 92469 NA NA NA 13063 NA 102841 NA NA 5023 NA "Yes" "Yes" 1 1 300
"Moundville Public Library" "Moundville" "Alabama" " Not a member of a library system." "Municipal government" "City" 6142 4123 1654 1 0 0 9594 102 249 12 2787 NA 10 0 1 0 1 1029 678 21531 4663 NA 762 26956 NA NA NA 2284 NA 22359 1284 NA NA NA "Yes" "Yes" 0 1 25
"Newton Public Library" "Newton" "Alabama" " Member library of a library system." "Municipal government" "City" 2375 3021 1960 1 0 0 11754 26 11 2 5643 29 30 0 1 0 1 1709 50 18930 2406 NA 1116 22452 NA NA NA 2415 NA 18744 NA NA 1310 1 "Yes" "Yes" 0 1 35
"Odenville Public Library" "Odenville" "Alabama" " Member library of a library system." "Municipal government" "City" 1131 3656 1456 1 0 0 5074 13 174 5 5631 NA NA 0 0.7 0 0.7 3064 60 26379 2625 4000 2000 35004 NA NA NA 8399 NA 35004 NA NA NA NA "Yes" "Yes" 1 2 18
"Oneonta Public Library" "Oneonta" "Alabama" " Headquarters of a library system." "Multi-jurisdictional" "County" 38336 39750 2005 1 0 0 27591 234 622 122 74662 43 378 0 5.6 0.1 5.7 35321 513 206055 38807 200 15605 260667 108372 27844 136216 48953 69451 254620 10000 1045 9000 1 "Yes" "Yes" 6 4 58
"Lewis Cooper Jr. Memorial Library" "Opelika" "Alabama" " Member library of a library system." "Municipal government" "City" 23498 18664 3685 1 0 0 54178 1336 2010 92 86366 12 81 2 4 4.5 8.5 43183 2450 401032 5500 3750 15100 425382 226632 45519 272151 70174 97037 439362 52122 NA NA 27 "Yes" "Yes" 5 9 318
"Cross Trails Regional Library" "Opp" "Alabama" " Headquarters of a library system." "Multi-jurisdictional" "Multi-County" 45260 115307 2024 1 0 0 34644 NA 17 9 6514 122 162 1 4 0 4 1647 NA 13259 50277 NA 7160 70696 42336 9154 51490 8886 30635 91011 NA NA NA NA "No" "Yes" 3 0 0
"Opp Public Library" "Opp" "Alabama" " Member library of a library system." "Municipal government" "City" 6607 18732 2448 1 0 0 18477 80 NA 53 22822 48 178 0 3 1 4 6489 1261 68298 5087 NA 3502 76887 57139 8107 65246 7410 11226 83882 NA NA NA 1 "Yes" "Yes" 3 3 32
"Oxford Public Library" "Oxford" "Alabama" " Member library of a library system." "Municipal government" "City" 14610 24859 2314 1 0 0 26620 889 2124 27 63643 12 89 0 1 5 6 27913 1057 225021 10959 NA 4115 240095 123216 16784 140000 47813 52282 240095 NA NA NA 38 "Yes" "Yes" 6 4 32
"Ozark-Dale County Public Library" "Ozark" "Alabama" " Member library of a library system." "Multi-jurisdictional" "County" 37164 81077 2463 1 0 0 55406 1073 1476 109 72920 76 114 0 1 5.5 6.5 26025 2331 116150 37620 6392 55883 216045 95683 5848 101531 40691 82539 224761 NA NA NA NA "Yes" "Yes" 7 13 225
"Pelham Public Library" "Pelham" "Alabama" " Member library of a library system." "Municipal government" "City" 14369 107924 3188 1 0 0 37707 2104 2106 47 180212 102 295 3 10 1.5 11.5 84489 5168 649203 14546 NA 914 664663 360745 86473 447218 79404 138041 664663 NA NA 8000 NA "Yes" "Yes" 6 15 110
"Piedmont Public Library" "Piedmont" "Alabama" " Member library of a library system." "Municipal government" "City" 5122 26200 2121 1 0 0 31434 1031 959 46 35158 2 34 0 1 2 3 12679 235 66336 5183 NA 2048 73567 37000 8000 45000 13983 14584 73567 NA NA 1000 NA "Yes" "Yes" 1 1 46
"Autauga-Prattville Public Library" "Prattville" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 44118 95189 5876 1 3 0 72595 925 927 110 100756 4 134 2 3 11 14 42606 6371 323000 44660 10000 27675 405335 234411 65186 299597 43272 98174 441043 1299 NA 11876 NA "Yes" "Yes" 10 5 189
"Priceville Public Library" "Priceville" "Alabama" " Member library of a library system." "Municipal government" "City" 1631 6151 1350 1 0 0 6012 237 345 NA 7724 20 20 0 0.67 0 0.67 3003 601 34072 1651 4225 1000 40948 NA NA NA 14983 NA 40948 NA NA NA NA "Yes" "Yes" 1 3 5
"Prichard Public Library" "Prichard" "Alabama" " Not a member of a library system." "Municipal government" "City" 28633 16103 4120 1 1 0 75849 1536 1578 226 31383 NA 16 1 5 7 12 13203 7900 147140 28985 NA 37674 213799 124106 6074 130180 37198 52406 219784 NA 2060 3736 53 "Yes" "Yes" 1 6 230
"Ragland Public Library" "Ragland" "Alabama" " Member library of a library system." "Municipal government" "City" 1918 1444 1248 1 0 0 9803 NA 80 4 5478 NA 20 0 0.6 0 0.6 2146 156 12873 2625 4000 2889 22387 NA NA NA 8728 NA 22387 NA NA NA 2 "Yes" "Yes" 1 1 11
"Rainsville Public Library" "Rainsville" "Alabama" " Member library of a library system." "Municipal government" "City" 4499 22652 2641 1 0 0 37444 693 512 32 37717 NA 18 1 4 0 4 15186 1839 102114 4554 6400 6800 119868 58031 11606 69637 25234 28495 123366 NA 2391 1400 27 "Yes" "Yes" 4 7 112
"Reform Public Library" "Reform" "Alabama" " Member library of a library system." "Municipal government" "City" 1978 9454 1702 1 0 0 11191 332 256 24 10007 16 23 0 0.9 0.02 0.92 3751 928 20496 2002 NA 6800 29298 NA NA NA 4103 NA 30649 NA NA 450 71 "Yes" "Yes" 1 3 18
"Annie L. Awbrey Public Library" "Roanoke" "Alabama" " Member library of a library system." "Municipal government" "City" 6563 15629 2340 1 0 0 22453 792 46 43 28202 24 106 0 1 4 5 11530 594 73050 7181 300 2886 83417 52250 2300 54550 19167 7100 80817 NA 2000 NA 12 "Yes" "Yes" 0 1 16
"Robertsdale Public Library" "Robertsdale" "Alabama" " Not a member of a library system." "Municipal government" "City" 3782 12747 2520 1 0 0 29115 1818 989 73 40914 NA 42 0 1 3 4 13796 2629 190427 3828 NA NA 194255 119148 15179 134327 32798 17870 184995 NA NA 1100 NA "Yes" "Yes" 4 9 86
"Rockford Public Library" "Rockford" "Alabama" " Member library of a library system." "Municipal government" "City" 428 1045 1764 1 0 0 4585 5 183 19 1339 NA 7 0 1 0 1 514 50 19892 5500 NA 3365 28757 NA NA NA 6983 NA 29389 NA NA 299 NA "Yes" "Yes" 0 2 5
"Rogersville Public Library" "Rogersville" "Alabama" " Member library of a library system." "Municipal government" "County" 1199 19452 1988 1 0 0 22391 259 329 21 31648 NA NA 0 1 1 2 10713 214 38875 11834 NA 2239 52948 NA NA NA 5856 NA 50322 1975 NA NA NA "Yes" "Yes" 3 6 73
"Russellville Public Library" "Russellville" "Alabama" " Member library of a library system." "Municipal government" "City" 8971 6182 1628 1 0 0 18406 212 55 8 16684 1 2 0 0.8 0 0.8 4816 87 35190 NA NA NA 35190 NA NA NA 6268 NA 35190 42464 NA NA 11 "No" "Yes" 2 2 21
"Samson Public Library" "Samson" "Alabama" " Member library of a library system." "Municipal government" "City" 2071 1464 816 1 0 0 8413 NA NA NA 2305 NA 77 0 0.5 0 0.5 542 NA 11747 1595 NA 5074 18416 NA NA NA 1595 NA 20499 931 NA NA NA "Yes" "Yes" 0 1 8
"Satsuma Public Library" "Satsuma" "Alabama" " Not a member of a library system." "Municipal government" "City" 5687 11025 2026 1 0 0 12848 75 45 19 6414 NA 36 0 1 3 4 4563 396 29273 5757 NA 19131 54161 24334 NA 24334 8568 9110 42012 NA NA 701 NA "Yes" "Yes" 3 5 21
"Scottsboro Public Library" "Scottsboro" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "City" 53926 58000 2500 1 0 0 41111 1475 1301 145 60006 78 27 0 1 3.5 4.5 17691 1016 105200 54889 NA 31026 191115 99487 19509 118996 26779 49823 195598 NA NA NA NA "Yes" "Yes" 5 5 105
"Selma-Dallas County Public Library" "Selma" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "City" 46365 169071 2376 1 0 0 73135 1344 1921 71 108572 80 300 1 4 12 16 35440 18189 376000 55000 NA 135000 566000 294211 42289 336500 107677 130884 575061 10000 NA 42997 NA "Yes" "Yes" 12 22 350
"Sheffield Public Library" "Sheffield" "Alabama" " Not a member of a library system." "Municipal government" "County" 14345 53020 2008 1 0 0 60835 1008 2883 68 78688 82 103 0 5 1 6 26114 1671 214267 14522 300 41060 270149 90898 38459 129357 68411 81439 279207 NA 2000 57989 374 "Yes" "Yes" 7 10 400
"Oscar Johnson Memorial Library" "Silverhill" "Alabama" " Member library of a library system." "Municipal government" "City" 616 3059 1112 1 0 0 4844 83 419 3 3672 1 NA 0 0.5 0 0.5 2172 1071 4748 637 NA 2300 7685 NA NA NA 3337 NA 9707 NA NA 210 9 "Yes" "Yes" 0 1 4
"Slocomb Public Library" "Slocomb" "Alabama" " Member library of a library system." "Municipal government" "City" 2052 6938 984 1 0 0 10575 85 26 5 9168 NA 80 0 0.5 0 0.5 4981 275 14038 1627 4000 3000 22665 NA NA NA 7762 NA 22163 NA 1844 558 19 "Yes" "Yes" 0 1 20
"Springville Public Library" "Springville" "Alabama" " Member library of a library system." "Municipal government" "City" 2521 9627 2444 1 0 0 20679 132 137 11 13195 NA 4 0 1.4 0 1.4 4221 391 46078 2625 4300 2000 55003 NA NA NA 12614 NA 55003 NA NA NA NA "Yes" "Yes" 2 4 36
"Stevenson Public Library" "Stevenson" "Alabama" " Not a member of a library system." "Municipal government" "City" 1770 5984 1664 1 0 0 13403 NA 528 38 13988 NA 30 0 1 1 2 4570 125 47121 1689 NA 2795 51605 NA NA NA 12689 NA 51310 NA NA NA 63 "Yes" "Yes" 0 3 20
"Sulligent Public Library" "Sulligent" "Alabama" " Member library of a library system." "Municipal government" "City" 2151 8230 2177 1 0 0 11948 94 167 7 9146 4 19 0 1 0.1 1.1 4107 575 37537 NA NA NA 37537 NA NA NA 4367 NA 37537 18575 NA NA NA "No" "Yes" 3 4 28
"Sumiton Public Library" "Sumiton" "Alabama" " Member library of a library system." "Municipal government" "City" 2663 8975 2080 1 0 0 10750 16 31 12 8725 5 25 0 0.75 0.75 1.5 3599 612 34829 NA NA NA 34829 NA NA NA 109 NA 34829 NA NA 720 NA "Yes" "Yes" 0 3 12
"B. B. Comer Memorial Library" "Sylacauga" "Alabama" " Not a member of a library system." "Municipal government" "City" 12616 54470 2733 1 0 0 88085 931 782 141 190626 111 102 2 3 8.5 11.5 109481 5816 498781 12771 7817 30920 550289 295899 44359 340258 45798 130903 516959 133267 NA NA NA "Yes" "Yes" 7 17 167
"Talladega Public Library" "Talladega" "Alabama" " Not a member of a library system." "Municipal government" "City" 15143 34845 2804 1 0 0 138631 1392 143 142 57451 105 80 1 3 4.5 7.5 11422 2905 369138 15329 10300 16417 411184 145400 18820 164220 49313 54684 268217 NA NA 4200 NA "Yes" "Yes" 4 4 81
"Tallassee Community Library" "Tallassee" "Alabama" " Member library of a library system." "Municipal government" "City" 4934 11464 1823 1 0 0 21266 870 405 15 28779 NA 112 0 0.92 0 0.92 10282 3187 62000 5566 NA 12000 79566 NA NA NA 9426 NA 72895 17000 NA 429 NA "Yes" "Yes" 0 3 60
"Tarrant Public Library" "Tarrant" "Alabama" " Member library of a library system." "Municipal government" "City" 7022 21306 2434 1 0 0 37559 779 287 77 77233 274 263 0 1 3 4 34973 4314 139493 5454 NA NA 144947 73776 15503 89279 24466 31173 144918 NA 995 9990 19 "Yes" "Yes" 2 4 51
"Thomasville Public Library" "Thomasville" "Alabama" " Not a member of a library system." "Municipal government" "City" 10103 20916 2389 1 0 0 15572 422 448 33 23456 NA 120 1 2 0.4 2.4 5718 579 85726 8330 NA 11423 105479 53476 11233 64709 12259 21466 98434 4694 NA NA NA "Yes" "Yes" 4 2 23
"Troy Public Library" "Troy" "Alabama" " Not a member of a library system." "Municipal government" "County" 27264 59791 2340 1 0 0 69097 2530 1915 138 150606 966 336 1 6 4.73 10.73 63909 3477 384300 23490 150 25011 432951 195768 45013 240781 81873 87264 409918 37358 366 12706 154 "Yes" "Yes" 12 4 29
"Trussville Public Library" "Trussville" "Alabama" " Member library of a library system." "Municipal government" "City" 12924 83119 2926 1 0 0 63084 3359 1569 99 158586 1641 3651 2 9.5 3 12.5 86266 5834 608029 10772 NA 46074 664875 316801 72930 389731 154209 86190 630130 NA NA 8353 20 "Yes" "Yes" 9 14 160
"Tuscaloosa Public Library" "Tuscaloosa" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 164761 328942 5534 1 1 1 181323 3178 3998 261 524985 211 245 10.4 25.07 22.87 47.94 196655 4310 2169762 166787 14500 189316 2540365 1154486 281336 1435822 417852 736543 2590217 112432 13559 15235 35 "Yes" "Yes" 26 19 2933
"Helen Keller Public Library" "Tuscumbia" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "City" 12549 12660 1984 1 0 0 23214 874 1295 35 50929 18 27 0 1 2 3 15231 716 82497 12705 249 11741 107192 49304 12275 61579 25645 19968 107192 NA NA 4837 1 "Yes" "Yes" 2 4 125
"Macon County-Tuskegee Public Library" "Tuskegee" "Alabama" " Not a member of a library system." "Multi-jurisdictional" "County" 24105 10801 550 1 0 0 10690 13 141 7 9220 10 29 0 1 1 2 5113 6838 94278 24401 NA 9187 127866 NA NA NA 26408 NA 132560 147342 769 15131 687 "Yes" "Yes" 3 31 150
"Uniontown Public Library" "Uniontown" "Alabama" " Not a member of a library system." "Municipal government" "City" 1636 4320 2120 1 0 0 12098 260 130 1 2100 NA NA 0 2 0 2 900 200 20592 7280 NA NA 27872 NA NA NA 7280 NA 27872 NA 4200 NA 10 "Yes" "Yes" 3 4 25
"H. Grady Bradshaw-Chambers County Library" "Valley" "Alabama" " Not a member of a library system." "County/Parish" "County" 36583 39692 3538 1 1 0 63823 2680 473 153 67480 64 40 2 2 4.45 6.45 28304 6251 262549 37623 NA 71364 371536 135273 39357 174630 34647 121228 330505 3092 NA NA 29 "Yes" "Yes" 9 7 169
"Mary Wallace Cobb Memorial Library" "Vernon" "Alabama" " Member library of a library system." "Municipal government" "City" 2143 9037 2450 1 0 0 5194 4 78 5 12016 1 11 0 1 1 2 4000 419 38078 NA NA NA 38078 NA NA NA 900 NA 38078 15000 NA NA 4 "No" "Yes" 3 3 21
"Lallouise F. Mcgraw Library" "Vincent" "Alabama" " Member library of a library system." "Municipal government" "City" 1853 4612 1456 1 0 0 8079 83 24 1 3844 18 57 0 0.7 0 0.7 1376 652 28029 1876 NA 2711 32616 NA NA NA 3257 NA 32616 NA NA NA 8 "Yes" "Yes" 1 2 14
"Warrior Public Library" "Warrior" "Alabama" " Member library of a library system." "Municipal government" "City" 3169 15468 2436 1 0 0 24002 102 72 36 26191 41 84 0 1 1.5 2.5 9584 2248 68022 2647 NA 8918 79587 38742 5789 44531 15530 17713 77774 213 NA 3740 50 "Yes" "Yes" 2 2 30
"Wetumpka Public Library" "Wetumpka" "Alabama" " Member library of a library system." "Municipal government" "City" 5726 28638 2828 1 0 0 16778 1037 928 43 53814 NA 114 0 1 2 3 19735 1048 99522 5500 NA 10693 115715 49619 12740 62359 22161 19126 103646 4200 NA 1800 49 "Yes" "Yes" 3 6 66
